"rn","CZY","NOQWORD","QWORD","czyperc","ALLSUM","Birthreg","Birthdate","Dialect","LANG","POETRY"
"Майк Йогансен",112,223,NA,0.300940438871473,319,"UA-HRK","1896",NA,"UKR","NA"
"Марія Романівська",56,529,NA,0.0926243567753002,583,"UA-HRK","1901",NA,"UKR","NA"
"Марія Струтинська",31,225,NA,0.117647058823529,255,"UA-LVV-REG","1897",NA,"UKR","NA"
"Марко Вовчок",277,607,NA,0.303099885189437,871,"RU","1833",NA,"UKR","NA"
"Марко Кропивницький",140,579,NA,0.184507042253521,710,"UA-KRV-REG","1840",NA,"UKR","NA"
"Микола Зеров",109,303,NA,0.246268656716418,402,"UA-PLT","1890",NA,"UKR","NA"
"Микола Костомаров",51,174,NA,0.19815668202765,217,"RU","1817",NA,"UKR","NA"
"Микола Куліш",13,193,NA,0.0631067961165049,206,"UA-HRS-REG","1892",NA,"UKR","NA"
"Микола Трублаїні",120,782,NA,0.127232142857143,896,"UA-VNC-REG","1907",NA,"UKR","NA"
"Микола Хвильовий",201,1035,NA,0.159220146222583,1231,"UA-SUM","1893",NA,"UKR","NA"
"Михайло Грушевський",123,207,NA,0.321311475409836,305,"PL|RU","1866",NA,"UKR","NA"
"Михайло Коцюбинський",270,1006,NA,0.200317965023847,1258,"UA-VNC","1864",NA,"UKR","NA"
"Михайло Старицький",244,1722,NA,0.114197530864198,1944,"UA-CRK-REG","1840",NA,"UKR","NA"
"Наталена Королева",185,550,NA,0.240331491712707,724,"ES","1888",NA,"UKR","NA"
"Оксана Іваненко",30,213,NA,0.123456790123457,243,"UA-PLT","1906",NA,"UKR","NA"
"Олекса Слісаренко",79,457,NA,0.137735849056604,530,"UA-HRK-REG","1891",NA,"UKR","NA"
"Олександр Довженко",71,541,NA,0.107260726072607,606,"UA-CRG-REG","1894",NA,"UKR","NA"
"Олександр Зима",74,573,NA,0.113003095975232,646,"UA-HRS-REG","1937",NA,"UKR","NA"
"Олександр Ільченко",160,966,NA,0.140569395017794,1124,"UA-HRK","1909",NA,"UKR","NA"
"Олександр Ірванець",53,215,NA,0.197761194029851,268,"UA-LVV","1961",NA,"UKR","NA"
"Олександр Кониський",162,514,NA,0.232835820895522,670,"UA-CRG-REG","1836",NA,"UKR","NA"
"Олександр Корнійчук",10,196,NA,0.0439024390243902,205,"UA-KYV-REG","1905",NA,"UKR","NA"
"Олександр Мар’ямов",34,205,NA,0.127659574468085,235,"UA-ODS","1909",NA,"UKR","NA"
"Олександр Покришкін",68,334,NA,0.165,400,"TRANSL","TRANSL",NA,"UKR","NA"
"Олександр Сизоненко",19,342,NA,0.0526315789473684,361,"UA-MKL-REG","1923",NA,"UKR","NA"
"Олександр Тесленко",237,2210,NA,0.0935192780968007,2438,"UA-DNC","1948",NA,"UKR","NA"
"Олексій Волков",82,938,NA,0.0776794493608653,1017,"UA-TRN","1965",NA,"UKR","NA"
"Олексій Кацай",168,939,NA,0.14945652173913,1104,"RU","1954",NA,"UKR","NA"
"Олексій Коломієць",41,568,NA,0.0657894736842105,608,"UA-PLT-REG","1919",NA,"UKR","NA"
"Олена Пчілка",38,252,NA,0.131034482758621,290,"UA-PLT","1849",NA,"UKR","NA"
"Олесь Бердник",1439,7196,NA,0.15885447106955,8555,"UA-KYV-REG","1926",NA,"UKR","NA"
"Олесь Гончар",890,3123,NA,0.21056622851365,3956,"UA-PLT-REG","1918",NA,"UKR","NA"
"Олесь Донченко",198,1459,NA,0.114146933819065,1647,"UA-PLT-REG","1902",NA,"UKR","NA"
"Олесь Досвітній",129,675,NA,0.155193992490613,799,"UA-HRK","1891",NA,"UKR","NA"
"Олесь Ульяненко",29,261,NA,0.0968858131487889,289,"UA-PLT-REG","1962",NA,"UKR","NA"
"Ольга Кобилянська",942,2266,NA,0.277884002549394,3138,"RO","1863",NA,"UKR","NA"
"Ольга Мак",76,461,NA,0.128544423440454,529,"UA-KYV","1913",NA,"UKR","NA"
"Осип Назарук",144,283,NA,0.327790973871734,421,"UA-TRN-REG","1883",NA,"UKR","NA"
"Осип Турянський",58,162,NA,0.253456221198157,217,"UA-LVV-REG","1888",NA,"UKR","NA"
"Остап Вишня",101,732,NA,0.112727272727273,825,"UA-PLT-REG","1889",NA,"UKR","NA"
"Павло Бондаренко",43,305,NA,0.11849710982659,346,"RU","1970",NA,"UKR","NA"
"Павло Гай-Нижник",4,280,NA,0.0140845070422535,284,"UA-KHME","1971",NA,"UKR","NA"
"Павло Загребельний",1098,6250,NA,0.14289632473944,7292,"UA-PLT-REG","1924",NA,"UKR","NA"
"Панас Мирний",362,2134,NA,0.137080469065912,2473,"UA-PLT","1849",NA,"UKR","NA"
"Пантелеймон Куліш",77,270,NA,0.179331306990881,329,"UA-SUM-REG","1819",NA,"UKR","NA"
"Петpo Панч",95,880,NA,0.0946502057613169,972,"UA-HRK-REG","1891",NA,"UKR","NA"
"Петро Голота",34,415,NA,0.0736607142857143,448,"UA-KRV-REG","1901",NA,"UKR","NA"
"Петро Угляренко",123,571,NA,0.170058139534884,688,"UA-KYV-REG","1922",NA,"UKR","NA"
"Пилип Бабанський",31,235,NA,0.116541353383459,266,"UA-PLT-REG","1921",NA,"UKR","NA"
"Радій Полонський",53,854,NA,0.056353591160221,905,"UA-HRK","1930",NA,"UKR","NA"
"Раїса Іванченко",90,368,NA,0.192982456140351,456,"UA-DNP-REG","1934",NA,"UKR","NA"
"Робер Мерль",54,370,NA,0.127358490566038,424,"TRANSL","TRANSL",NA,"UKR","NA"
"Роман Андріяшик",35,551,NA,0.0581196581196581,585,"UA-TRN-REG","1933",NA,"UKR","NA"
"Роман Іваничук",158,486,NA,0.234645669291339,635,"UA-IFR","1929",NA,"UKR","NA"
"Роман Федорів",320,1207,NA,0.201191264063534,1511,"UA-LVV","1930",NA,"UKR","NA"
"Ростислав Самбук",137,980,NA,0.118705035971223,1112,"BY","1923",NA,"UKR","NA"
"Світлана Пиркало",40,412,NA,0.0864745011086474,451,"UA-PLT","1976",NA,"UKR","NA"
"Семен Скляренко",148,837,NA,0.145918367346939,980,"UA-PLT-REG","1901",NA,"UKR","NA"
"Сергій Батурин",29,318,NA,0.0809248554913295,346,"UA-KYV","1960",NA,"UKR","NA"
"Сергій Жадан",11,283,NA,0.0341296928327645,293,"UA-LUH","1974",NA,"UKR","NA"
"Сергій Ухачевський",17,504,NA,0.0326295585412668,521,"UA-TRN","1966",NA,"UKR","NA"
"Софія Парфанович",219,487,NA,0.297258297258297,693,"UA-LVV","1898",NA,"UKR","NA"
"Софія Яблонська",83,144,NA,0.36,225,"UA-LVV","1907",NA,"UKR","NA"
"Степан Васильченко",149,530,NA,0.211309523809524,672,"UA-CRG","1879",NA,"UKR","NA"
"Тадеуш Доленга-Мостович",46,502,NA,0.0788990825688073,545,"TRANSL","TRANSL",NA,"UKR","NA"
"Улас Самчук",444,2587,NA,0.138814913448735,3004,"UA-RIV-REG","1905",NA,"UKR","NA"
"Юліан Опільський",130,455,NA,0.204545454545455,572,"UA-TRN","1884",NA,"UKR","NA"
"Юрiй Яновський",21,246,NA,0.075187969924812,266,"UA-HRS-REG","1902",NA,"UKR","NA"
"Юрій Андрухович",104,490,NA,0.166666666666667,588,"UA-IFR","1960",NA,"UKR","NA"
"Юрій Винничук",233,1051,NA,0.17439120188531,1273,"UA-IFR","1952",NA,"UKR","NA"
"Юрій Горліс-Горський",72,266,NA,0.203592814371257,334,"UA-PLT-REG","1898",NA,"UKR","NA"
"Юрій Іздрик",48,407,NA,0.0995575221238938,452,"UA-IFR-REG","1962",NA,"UKR","NA"
"Юрій Логвин",34,209,NA,0.129166666666667,240,"UA-KRE","1939",NA,"UKR","NA"
"Юрій Мушкетик",85,466,NA,0.148080438756856,547,"UA-CER-REG","1929",NA,"UKR","NA"
"Юрій Смолич",141,1245,NA,0.0984793627805938,1381,"UA-CRK","1900",NA,"UKR","NA"
"Ярема Ткачук",146,450,NA,0.23469387755102,588,"UA-IFR-REG","1933",NA,"UKR","NA"
"Васіль Быкаў",51,192,181,0.209,424,"BY-VIT","1924",NA,"BEL","NA"
"Уладзiмiр Караткевiч",27,194,226,0.122171945701357,447,"BY-ORSH","1930",NA,"BEL","NA"
"Францішак Багушэвіч",10,16,24,0.384615384615385,50,"LT-VNO","1840",NA,"BEL","NA"
"Цішка Гартны",0,37,1,0,38,"BY-MSQ","1887",NA,"BEL","NA"
"Янка Купала",30,70,96,0.3,196,"BY-MSQ","1882",NA,"BEL","NA"
"Янка Лучина",30,46,68,0.394736842105263,144,"BY-MSQ","1851",NA,"BEL","NA"
"Максім Гарэцкі",64,170,266,0.294,500,"BY-MGLV","1893",NA,"BEL","NA"
"Генрых Далідовіч",131,388,552,0.252408477842004,1071,"BY-VIT","1946",NA,"BEL","NA"
"Зьмітрок Бядуля",34,96,165,0.261538461538462,295,"BY-MSQ","1886",NA,"BEL","NA"
"Иван Мележ",121,667,944,0.153553299492386,1732,"BY-GOM","1921",NA,"BEL","NA"
"Кузьма Чорны",43,147,271,0.226315789473684,461,"BY-MSQ","1900",NA,"BEL","NA"
"Михась Чарот",10,37,87,0.212765957446809,134,"BY-MSQ","1896",NA,"BEL","NA"
"Якуб Колас",162,438,1142,0.27,1742,"BY-MSQ","1882",NA,"BEL","NA"
"Янка Брыль",13,88,108,0.128712871287129,209,"UA-ODS","1917",NA,"BEL","NA"
